Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
1037,hot-shots-golf-open-tee,Sports,E10,PSP,Sony Computer Entertainment,Clap Hanz,8.4,1.63,0.5,0.5,0.63,0.33
1042,tom-clancys-rainbow-six-vegas,Shooter,T,X360,Ubisoft,Ubisoft Montreal,8.8,1.7600000000000002,1.09,0.65,0.02,0.2
1044,grand-theft-auto-san-andreas,Action,M,XB,Rockstar Games,Rockstar North,9.2,1.87,1.26,0.61,0.0,0.09
1045,pokemon-battle-revolution,Role-Playing,E,Wii,Nintendo,Genius Sonority Inc.,5.2,0.0,0.0,0.0,0.0,0.0
1048,burnout-paradise,Racing,E10,PS3,Electronic Arts,Criterion Games,9.0,1.6600000000000001,1.01,0.63,0.02,0.28
1057,fifa-soccer-09,Sports,E,X360,Electronic Arts,EA Canada,8.7,1.76,0.49,1.26,0.01,0.18
1058,call-of-duty-world-at-war,Shooter,M,Wii,Activision,EXAKT Entertainment,8.1,1.75,1.17,0.58,0.0,0.18
1061,x-men-legends,Role-Playing,T,PS2,Activision,Raven Software,8.6,1.72,1.0,0.72,0.0,0.21
1064,the-legend-of-zelda-oracle-of-ages,Adventure,E,GBC,Nintendo,Flagship,9.4,1.86,0.92,0.53,0.41,0.06
1065,guitar-hero-world-tour,Misc,T,PS3,Activision,Neversoft Entertainment,8.5,1.6500000000000001,1.1,0.55,0.0,0.27
1066,red-faction,Shooter,M,PS2,THQ,Volition Inc.,9.1,1.72,0.76,0.96,0.0,0.2
1069,parappa-the-rapper,Misc,E,PS,Sony Computer Entertainment,NanaOn-Sha,9.2,1.88,0.26,0.16,1.46,0.03
1071,need-for-speed-shift,Racing,E,X360,Electronic Arts,Slightly Mad Studios,8.2,1.7,0.73,0.96,0.01,0.22
1072,postal-2,Shooter,M,PC,Whiptail Interactive,Running With Scissors,4.8,0.0,0.0,0.0,0.0,0.0
1074,lego-city-undercover-the-chase-begins,Action,E,3DS,Nintendo,TT Fusion,6.2,0.0,0.0,0.0,0.0,0.0
1075,mario-party-3,Misc,E,N64,Nintendo,Hudson Soft,7.0,0.0,0.0,0.0,0.0,0.0
1076,paper-mario-the-thousand-year-door,Role-Playing,E,GC,Nintendo,Intelligent Systems,9.0,0.0,0.0,0.0,0.0,0.0
1077,madden-nfl-18,Sports,E,XOne,EA Sports,EA Tiburon,8.8,1.7,1.63,0.07,0.0,0.2
1078,star-wars-rogue-leader-rogue-squadron-ii,Simulation,T,GC,LucasArts,Factor 5,9.2,1.81,1.03,0.75,0.03,0.09
1079,tomb-raider-2013,Action,M,X360,Square Enix,Crystal Dynamics,8.5,1.74,0.86,0.87,0.01,0.16
1080,dead-rising,Action,M,X360,Capcom,Capcom Production Studio 1,8.4,0.0,0.0,0.0,0.0,0.0
1081,dissidia-final-fantasy,Fighting,T,PSP,Square Enix,Square Enix,8.1,0.0,0.0,0.0,0.0,0.0
1082,dragon-ball-xenoverse-2,Action,T,PS4,Namco Bandai Games,Dimps Corporation,7.1,0.0,0.0,0.0,0.0,0.0
1083,dragon-quest-monsters-joker,Role-Playing,E10,DS,Square Enix,TOSE Software,7.6,0.0,0.0,0.0,0.0,0.0
1084,monster-hunter-tri,Role-Playing,T,Wii,Capcom,Capcom Production Studio 1,8.1,0.0,0.0,0.0,0.0,0.0
1085,parasite-eve,Role-Playing,M,PS,Square EA,SquareSoft,7.9,0.0,0.0,0.0,0.0,0.0
1089,minecraft,Sandbox,E10,NS,Mojang,4J Studios,9.2,1.77,0.69,0.56,0.52,0.12
1090,ratchet-amp-clank-future-a-crack-in-time,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,8.7,1.6300000000000001,1.05,0.55,0.03,0.26
1091,madden-nfl-09,Sports,E,PS3,EA Sports,EA Tiburon,8.6,1.71,1.56,0.15,0.0,0.18
1095,yu-gi-oh-forbidden-memories,Role-Playing,E,PS,Konami,KCEJ,7.0,1.81,1.37,0.44,0.0,0.08
1096,mortal-kombat-deception,Fighting,M,PS2,Midway Games,Midway Games,7.4,1.6400000000000001,0.92,0.72,0.0,0.24
1103,fifa-2000,Sports,E,PS,EA Sports,EA Canada,8.8,1.73,0.22,1.47,0.04,0.14
1104,infamous-2,Action,T,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.61,1.05,0.48,0.08,0.26
1105,star-wars-the-force-unleashed,Action,T,Wii,LucasArts,Krome Studios,6.8,1.6700000000000002,1.11,0.56,0.0,0.19
1106,the-legend-of-zelda-oracle-of-seasons,Adventure,E,GBC,Nintendo,Flagship,9.3,1.8,0.87,0.52,0.41,0.06
1109,shrek-2,Platform,E,PS2,Activision,"Luxoflux, Inc.",6.9,1.84,1.12,0.69,0.03,0.02
1110,sonic-classic-collection,Platform,E,DS,Sega,Sonic Team,7.5,1.68,0.94,0.74,0.0,0.18
1111,the-legend-of-dragoon,Role-Playing,T,PS,Sony Computer Entertainment,SCEI,7.8,1.77,0.94,0.44,0.39,0.1
1112,turok-2-seeds-of-evil,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,9.0,1.82,1.37,0.41,0.04,0.04
1113,the-evil-within,Action,M,PS4,Bethesda Softworks,Tango Gameworks,7.7,1.57,0.56,0.9,0.11,0.28
1119,kirbys-epic-yarn,Platform,E,Wii,Nintendo,Good-Feel,8.7,0.0,0.0,0.0,0.0,0.0
